epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1885,1.61408,3.12967,1.58864,0.89179,0.03365,0.14608,0.0629,1.60889,3.70773,1.59058,0.000411458,0.000411458,0.000411458
2,142.497,1.63013,2.43113,1.59815,0.47375,0.32329,0.3318,0.1758,1.69193,2.59327,1.5741,0.000819927,0.000819927,0.000819927
3,238.515,1.6404,2.20889,1.63203,0.35391,0.35488,0.31926,0.15086,1.86223,2.66831,1.71434,0.00122014,0.00122014,0.00122014
4,315.597,1.62509,2.14014,1.62688,0.40145,0.3848,0.35129,0.18748,1.75415,3.33777,1.70411,0.00121287,0.00121287,0.00121287
5,396.652,1.61065,2.05011,1.60759,0.53215,0.37096,0.40279,0.18305,1.87715,2.75101,1.78441,0.0012005,0.0012005,0.0012005
6,478.592,1.59311,1.99881,1.59635,0.47279,0.43257,0.42095,0.22153,1.70905,2.14989,1.6363,0.00118812,0.00118812,0.00118812
7,553.36,1.5757,1.9165,1.56689,0.50378,0.48614,0.43427,0.21912,1.77642,2.0674,1.64041,0.00117575,0.00117575,0.00117575
8,641.457,1.57246,1.86788,1.59785,0.39089,0.40045,0.41772,0.20127,1.87173,2.18563,1.75524,0.00116337,0.00116337,0.00116337
9,716.323,1.55405,1.8426,1.59032,0.49007,0.52658,0.49209,0.24485,1.75682,1.95585,1.6648,0.001151,0.001151,0.001151
10,788.946,1.51828,1.76582,1.54775,0.52552,0.54534,0.50378,0.24876,1.78593,1.84515,1.6826,0.00113863,0.00113863,0.00113863
11,859.385,1.51894,1.71756,1.55744,0.50981,0.51481,0.52001,0.25819,1.78152,1.84884,1.6881,0.00112625,0.00112625,0.00112625
12,928.569,1.52645,1.67994,1.56972,0.519,0.54014,0.48874,0.2415,1.73459,1.886,1.66507,0.00111388,0.00111388,0.00111388
13,997.016,1.49647,1.6504,1.5354,0.50911,0.51826,0.4835,0.24221,1.7623,1.94084,1.69561,0.0011015,0.0011015,0.0011015
14,1067.25,1.50294,1.61737,1.54668,0.53765,0.4894,0.46993,0.22198,1.85885,1.90877,1.74248,0.00108913,0.00108913,0.00108913
15,1135.83,1.51925,1.65,1.55219,0.53523,0.60733,0.53539,0.26397,1.74833,1.7342,1.64324,0.00107675,0.00107675,0.00107675
16,1204.83,1.48523,1.59655,1.52718,0.47149,0.51111,0.47295,0.23541,1.82018,1.76859,1.72058,0.00106437,0.00106437,0.00106437
17,1273.71,1.49632,1.55858,1.5144,0.61657,0.53439,0.54915,0.28721,1.68365,1.61711,1.62672,0.001052,0.001052,0.001052
18,1342.25,1.47627,1.53692,1.50561,0.62481,0.52748,0.56098,0.28125,1.73254,1.60016,1.65054,0.00103962,0.00103962,0.00103962
19,1411.04,1.47081,1.51314,1.51147,0.61145,0.58635,0.5759,0.29388,1.73638,1.58607,1.62078,0.00102725,0.00102725,0.00102725
20,1479.52,1.44339,1.45364,1.49186,0.52549,0.56645,0.55414,0.27954,1.69519,1.67294,1.60799,0.00101488,0.00101488,0.00101488
21,1548.8,1.44768,1.48536,1.50863,0.50302,0.5414,0.50252,0.24995,1.77586,1.7504,1.6903,0.0010025,0.0010025,0.0010025
22,1620.97,1.43029,1.46654,1.49503,0.50483,0.61713,0.54061,0.26523,1.78283,1.65497,1.70084,0.000990125,0.000990125,0.000990125
23,1690.12,1.44752,1.45077,1.51373,0.59728,0.54768,0.54877,0.24904,1.90666,1.64089,1.7854,0.00097775,0.00097775,0.00097775
24,1758.45,1.43346,1.41249,1.49803,0.58719,0.58127,0.50087,0.25709,1.75931,1.70788,1.64541,0.000965375,0.000965375,0.000965375
