Latitude,Longitude,Time,Type,Score,Image
36.320218,127.343319,2024-11-06 13:22:00,CleanNet,0.882,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,General Waste,0.592,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,General Waste,0.482,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,General Waste,0.311,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,General Waste,0.253,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.922,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.912,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.909,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.906,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.895,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.863,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.776,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.749,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.748,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.744,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.729,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.67,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.664,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.541,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.521,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.512,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.451,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.417,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.39,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.306,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
36.423913,127.407165,2024-11-08 12:36:00,PP bag,0.306,202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg
