Latitude,Longitude,Time,Type,Score,Image
36.320218,127.343319,2024-11-06 13:22:00,CleanNet,0.882,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,General Waste,0.592,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,General Waste,0.482,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,Large Waste Items,0.367,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,General Waste,0.311,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.320218,127.343319,2024-11-06 13:22:00,General Waste,0.253,202411061322-36-320218-127-343319_jpg.rf.86814c1d60da676d5d9596a2a3da0efb.jpg
36.307974,127.355197,2024-11-11 12:24:00,CleanNet,0.797,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,General Waste,0.689,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,General Waste,0.587,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,General Waste,0.577,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,General Waste,0.558,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,CleanNet,0.454,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,CleanNet,0.358,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,General Waste,0.343,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,General Waste,0.339,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,General Waste,0.303,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
36.307974,127.355197,2024-11-11 12:24:00,General Waste,0.288,202411111224-36-307974-127-355197_jpg.rf.8824813e9e1263d3c32b197514edcf0b.jpg
