address,Latitude,Longitude,type,count,time,image,score
대전광역시 대덕구 상서동 418-4,,,대형폐기물,5,2024-03-09 21:35:50.357260,,0.27159135211565555
대전광역시 대덕구 상서동 428-1,,,pp마대,3,2024-05-10 21:35:50.358260,,0.3241206245841126
대전광역시 대덕구 상서동 415,,,pp마대,5,2023-12-07 21:35:50.358260,,0.22678934443218624
대전광역시 대덕구 상서동 411,,,pp마대,6,2023-12-06 21:35:50.359260,,0.5152530038504866
대전광역시 대덕구 와동 229-15,,,대형폐기물,1,2024-11-01 21:35:50.359260,,0.39928305449339907
대전광역시 대덕구 신대동 452-4,,,pp마대,7,2024-05-25 21:35:50.360260,,0.41362424626445693
대전광역시 서구 만년동 565,,,pp마대,8,2024-06-05 21:35:50.360260,,0.6563679448622958
대전광역시 서구 만년동 303-1,,,대형폐기물,6,2024-09-11 21:35:50.360260,,0.8560680582118741
대전광역시 서구 만년동 308-1,,,대형폐기물,4,2024-01-08 21:35:50.361260,,0.05048377192191633
대전광역시 대덕구 대화동 378-4,,,대형폐기물,3,2024-07-21 21:35:50.361260,,0.8821725755805518
대전광역시 대덕구 신대동 95,,,pp마대,10,2024-06-25 21:35:50.362260,,0.4070226247263009
대전광역시 대덕구 상서동 403-3,,,대형폐기물,7,2023-12-17 21:35:50.362260,,0.4127895613246224
대전광역시 대덕구 상서동 415-1,,,대형폐기물,6,2024-04-26 21:35:50.362260,,0.38815529191069187
대전광역시 대덕구 와동 228-8,,,pp마대,4,2024-01-01 21:35:50.363260,,0.3306283407834463
대전광역시 대덕구 신대동 산19-10,,,pp마대,4,2024-01-13 21:35:50.363260,,0.34348913190596275
대전광역시 대덕구 대화동 491-11,,,대형폐기물,4,2024-02-21 21:35:50.364260,,0.6061020583199378
대전광역시 서구 월평동 1559,,,pp마대,5,2024-05-26 21:35:50.364260,,0.34181340660756077
대전광역시 서구 월평동 163-30,,,대형폐기물,6,2024-08-04 21:35:50.364260,,0.11319741955312201
대전광역시 서구 도안동 426-18,,,대형폐기물,8,2024-10-21 21:35:50.365260,,0.070540549989077
대전광역시 서구 도안동 936,,,대형폐기물,1,2023-12-23 21:35:50.365260,,0.6018546326701882
