수거순서,쓰레기확인시간,위도,경도,폐기물종류,폐기물개수
1,2000-01-01 03:38:35.642636,36.4216090560865,127.423704564947,대형폐기물,0
2,2024-11-29 20:05:44.808601,36.4216090560865,127.423704564947,대형폐기물,0
3,2024-11-24 18:06:47.652328,36.3511967553186,127.350969480667,대형폐기물,4
4,2024-04-03 18:06:47.653328,36.330961012533,127.341791973715,대형폐기물,10
5,2024-09-17 18:06:47.651327,36.3316999700665,127.341795201489,대형폐기물,7
6,2023-12-26 18:06:47.649328,36.3102554807081,127.353081308563,대형폐기물,4
7,2024-08-12 18:06:47.647327,36.3085933652258,127.338841243288,pp마대,8
8,2023-12-10 18:06:47.651327,36.3008899464295,127.33613313763,pp마대,6
9,2024-06-04 18:06:47.652328,36.3010976385779,127.336336321915,대형폐기물,7
10,2024-02-04 18:06:47.648328,36.2994999165717,127.328726535635,대형폐기물,5
11,2024-05-24 18:06:47.651327,36.2937457921378,127.342458704199,대형폐기물,4
12,2024-01-14 18:06:47.650327,36.295950820538,127.343774087149,대형폐기물,7
13,2023-12-23 18:06:47.649328,36.2956064718921,127.342205443783,pp마대,8
14,2024-10-14 18:06:47.653328,36.3708903770045,127.420652799975,대형폐기물,6
15,2024-11-19 18:06:47.649328,36.4219009695207,127.423874747094,pp마대,7
16,2024-10-10 18:06:47.650327,36.4215451599694,127.423832559993,대형폐기물,6
17,2024-06-06 18:06:47.648328,36.4213463075871,127.424203570367,pp마대,7
18,2024-02-10 18:06:47.652328,36.4209979065325,127.423749972063,pp마대,9
총 거리 (m),48322
총 적재량,105
