수거순서,쓰레기확인시간,위도,경도,폐기물종류,폐기물개수
1,2000-01-01 03:38:35.642636,36.4216090560865,127.423704564947,대형폐기물,0
2,2024-11-28 18:00:32.299935,36.4216090560865,127.423704564947,대형폐기물,0
3,2024-03-13 21:35:50.331718,36.3188847980357,127.347774444734,대형폐기물,5
4,2024-07-05 21:35:50.332718,36.3148738332534,127.345813404805,대형폐기물,7
5,2024-02-15 21:35:50.326719,36.3134899542661,127.350156111926,대형폐기물,10
6,2024-06-19 21:35:50.330718,36.3461932883006,127.352210720458,대형폐기물,1
7,2024-02-22 21:35:50.329718,36.3748855678287,127.40528857583,대형폐기물,1
8,2024-07-21 21:35:50.328718,36.3708903770045,127.420652799975,대형폐기물,3
9,2024-06-18 21:35:50.330718,36.3764099580618,127.413657867509,대형폐기물,10
10,2024-02-09 21:35:50.330718,36.3909863044655,127.412763471514,대형폐기물,4
총 거리 (m),41675
총 적재량,41
