address,Latitude,Longitude,type,count,time,image,score
대전 대덕구 상서당3길 16,36.4216090560865,127.423704564947,대형폐기물,0,2000-01-01 03:38:35.642636,,0
대전광역시 서구 만년동 303-1,36.3696294177466,127.380595741305,대형폐기물,2,2024-07-08 18:06:47.586298,,0.0267787022045576
대전광역시 서구 관저동 1942-1,36.2980880143002,127.324044890907,pp마대,8,2024-09-07 18:06:47.587299,,0.8326324129197972
대전광역시 대덕구 상서동 418-4,36.4215451599694,127.423832559993,대형폐기물,5,2024-02-13 18:06:47.587299,,0.9067796063601202
대전광역시 서구 도안동 1874,36.3102905655166,127.352735735617,대형폐기물,7,2024-07-26 18:06:47.588364,,0.4240849544069084
대전광역시 대덕구 상서동 415,36.4214310518927,127.424219084448,대형폐기물,1,2024-01-09 18:06:47.588364,,0.9795619683162948
대전광역시 대덕구 상서동 415-1,36.4213463075871,127.424203570367,pp마대,10,2024-02-06 18:06:47.588364,,0.5395564683855905
대전광역시 대덕구 상서동 428-1,36.4209979065325,127.423749972063,대형폐기물,2,2024-03-20 18:06:47.589365,,0.7257212311753949
대전광역시 서구 도안동 1377,36.3157452237037,127.349364446635,대형폐기물,3,2024-01-09 18:06:47.589365,,0.1213355468949737
대전 대덕구 상서당3길 16,36.4216090560865,127.423704564947,대형폐기물,0,2024-11-29 20:05:42.922261,,0
